occupation	participant	sentence	pronoun_type	word	article_and_occupation
Kassierer	Kunde	$ARTICLE_AND_OCCUPATION sagte, dass $NOM_PRONOUN bei Einkäufen unter zehn Dollar keine Kreditkarten akzeptieren könne.	$NOM_PRONOUN	Kassierer	$ARTICLE_AND_OCCUPATION
Kassierer	Kunde	$ARTICLE_AND_OCCUPATION wollte Minderjährigen keine Tabakwaren verkaufen, da man $ACC_PRONOUN sonst zur Rechenschaft ziehen könnte.	$ACC_PRONOUN	Kassierer	$ARTICLE_AND_OCCUPATION
Kassierer	Kunde	$ARTICLE_AND_OCCUPATION sagte, dass $POSS_PRONOUN Schicht bald zu Ende sei.	$POSS_PRONOUN	Kassierer	$ARTICLE_AND_OCCUPATION
Kassierer	Kunde	$ARTICLE_AND_OCCUPATION gab das Wechselgeld zurück, nachdem $DAT_PRONOUN zu viel Geld gegeben wurde.	$DAT_PRONOUN	Kassierer	$ARTICLE_AND_OCCUPATION
Klempner	Mieter	$ARTICLE_AND_OCCUPATION wurde gefragt, ob $NOM_PRONOUN kommen könnte, um ein kaputtes Rohr zu reparieren.	$NOM_PRONOUN	Klempner	$ARTICLE_AND_OCCUPATION
Klempner	Mieter	$ARTICLE_AND_OCCUPATION konnte das Rohr schnell reparieren, da es eine Routineaufgabe für $ACC_PRONOUN war.	$ACC_PRONOUN	Klempner	$ARTICLE_AND_OCCUPATION
Klempner	Mieter	$ARTICLE_AND_OCCUPATION wurde hinzugezogen, um $POSS_PRONOUN Meinung zu dem leckenden Wasserhahn abzugeben.	$POSS_PRONOUN	Klempner	$ARTICLE_AND_OCCUPATION
Klempner	Mieter	$ARTICLE_AND_OCCUPATION reparierte den Abfluss sorgfältig, damit man $DAT_PRONOUN eine gute Bewertung hinterließ.	$DAT_PRONOUN	Klempner	$ARTICLE_AND_OCCUPATION
Krankenpfleger	Patient	$ARTICLE_AND_OCCUPATION sagte, dass $NOM_PRONOUN in einer Stunde mit der Arbeit fertig sei.	$NOM_PRONOUN	Krankenpfleger	$ARTICLE_AND_OCCUPATION
Krankenpfleger	Patient	$ARTICLE_AND_OCCUPATION bat um Erlaubnis, $ACC_PRONOUN eine Blutprobe nehmen zu lassen.	$ACC_PRONOUN	Krankenpfleger	$ARTICLE_AND_OCCUPATION
Krankenpfleger	Patient	$ARTICLE_AND_OCCUPATION sagte, dass $POSS_PRONOUN Schicht in einer Stunde enden würde.	$POSS_PRONOUN	Krankenpfleger	$ARTICLE_AND_OCCUPATION
Krankenpfleger	Patient	$ARTICLE_AND_OCCUPATION pflegte liebevoll, weil es $DAT_PRONOUN Spaß machte mit Menschen zu arbeiten.	$DAT_PRONOUN	Krankenpfleger	$ARTICLE_AND_OCCUPATION
Küchenchef	Kunde	$ARTICLE_AND_OCCUPATION fragte sich, ob $NOM_PRONOUN ein anderes Dessert machen sollte.	$NOM_PRONOUN	Küchenchef	$ARTICLE_AND_OCCUPATION
Küchenchef	Kunde	$ARTICLE_AND_OCCUPATION behauptete, dass $ACC_PRONOUN die Hitze in der Küche nicht stören würde.	$ACC_PRONOUN	Küchenchef	$ARTICLE_AND_OCCUPATION
Küchenchef	Kunde	$ARTICLE_AND_OCCUPATION sagte, dass $POSS_PRONOUN Restaurants gerade erst eröffnet wurden.	$POSS_PRONOUN	Küchenchef	$ARTICLE_AND_OCCUPATION
Küchenchef	Kunde	$ARTICLE_AND_OCCUPATION bereitete vor der Schicht die Gerichte vor, weil $DAT_PRONOUN so das Kochen leichter fiel.	$DAT_PRONOUN	Küchenchef	$ARTICLE_AND_OCCUPATION
Lehrer	Student	$ARTICLE_AND_OCCUPATION wurde gefragt, ob $NOM_PRONOUN eine Verlängerung der Aufgabe gewähren könnte.	$NOM_PRONOUN	Lehrer	$ARTICLE_AND_OCCUPATION
Lehrer	Student	$ARTICLE_AND_OCCUPATION gab ausführliche Rückmeldungen, damit man $ACC_PRONOUN erklären ließ, wie man den Aufsatz verbessern könne.	$ACC_PRONOUN	Lehrer	$ARTICLE_AND_OCCUPATION
Lehrer	Student	$ARTICLE_AND_OCCUPATION wurde gefragt, ob $POSS_PRONOUN Benotung streng sei.	$POSS_PRONOUN	Lehrer	$ARTICLE_AND_OCCUPATION
Lehrer	Student	$ARTICLE_AND_OCCUPATION konnte geduldig erklären, wenn man $DAT_PRONOUN zuhörte.	$DAT_PRONOUN	Lehrer	$ARTICLE_AND_OCCUPATION
Maler	Käufer	$ARTICLE_AND_OCCUPATION verkaufte eine ganze Sammlung von Gemälden, weil $NOM_PRONOUN die Galerie schließen musste.	$NOM_PRONOUN	Maler	$ARTICLE_AND_OCCUPATION
Maler	Käufer	$ARTICLE_AND_OCCUPATION wollte, dass man $ACC_PRONOUN anhand der Maltechnik erkennt.	$ACC_PRONOUN	Maler	$ARTICLE_AND_OCCUPATION
Maler	Käufer	$ARTICLE_AND_OCCUPATION war für $POSS_PRONOUN schöne und komplizierte Arbeit bekannt.	$POSS_PRONOUN	Maler	$ARTICLE_AND_OCCUPATION
Maler	Käufer	$ARTICLE_AND_OCCUPATION begann direkt zu malen, weil $DAT_PRONOUN während des Malens die besten Einfälle kamen.	$DAT_PRONOUN	Maler	$ARTICLE_AND_OCCUPATION
Maschinist	Schüler	$ARTICLE_AND_OCCUPATION führte in der Schule einen Laserschneider vor, sagte aber, dass $NOM_PRONOUN über dieses eine Mal hinaus keine Aufsicht durch Erwachsene bereitstellen könne.	$NOM_PRONOUN	Maschinist	$ARTICLE_AND_OCCUPATION
Maschinist	Schüler	$ARTICLE_AND_OCCUPATION hatte einen Laserschneider dabei, weil man $ACC_PRONOUN darum gebeten hatte.	$ACC_PRONOUN	Maschinist	$ARTICLE_AND_OCCUPATION
Maschinist	Schüler	$ARTICLE_AND_OCCUPATION sagte, dass $POSS_PRONOUN Anwesenheit erforderlich sei, solange die Maschine lief.	$POSS_PRONOUN	Maschinist	$ARTICLE_AND_OCCUPATION
Maschinist	Schüler	$ARTICLE_AND_OCCUPATION bediente die Maschine langsam und sorgfältig, weil man $DAT_PRONOUN zusah.	$DAT_PRONOUN	Maschinist	$ARTICLE_AND_OCCUPATION
Mechaniker	Kunde	$ARTICLE_AND_OCCUPATION rief an, um zu sagen, dass $NOM_PRONOUN die Reparatur beendet hatte.	$NOM_PRONOUN	Mechaniker	$ARTICLE_AND_OCCUPATION
Mechaniker	Kunde	$ARTICLE_AND_OCCUPATION erwartete, dass man $ACC_PRONOUN rechtzeitig bezahlte.	$ACC_PRONOUN	Mechaniker	$ARTICLE_AND_OCCUPATION
Mechaniker	Kunde	$ARTICLE_AND_OCCUPATION sagte, dass $POSS_PRONOUN Preise gestiegen seien.	$POSS_PRONOUN	Mechaniker	$ARTICLE_AND_OCCUPATION
Mechaniker	Kunde	$ARTICLE_AND_OCCUPATION reparierte die Maschine, weil man $DAT_PRONOUN den Auftrag anvertraut hatte.	$DAT_PRONOUN	Mechaniker	$ARTICLE_AND_OCCUPATION
Pathologe	Verstorbener	$ARTICLE_AND_OCCUPATION musste Blutproben testen, weil $NOM_PRONOUN diese auf Vergiftung überprüfen musste.	$NOM_PRONOUN	Pathologe	$ARTICLE_AND_OCCUPATION
Pathologe	Verstorbener	$ARTICLE_AND_OCCUPATION bekam Proben zur Verfügung gestellt, damit man $ACC_PRONOUN eine Analyse durchführen ließ.	$ACC_PRONOUN	Pathologe	$ARTICLE_AND_OCCUPATION
Pathologe	Verstorbener	$ARTICLE_AND_OCCUPATION erhielt Gewebeproben, um $POSS_PRONOUN Meinung zu der Vergiftung abzugeben.	$POSS_PRONOUN	Pathologe	$ARTICLE_AND_OCCUPATION
Pathologe	Verstorbener	$ARTICLE_AND_OCCUPATION untersuchte akribisch, weil $DAT_PRONOUN die Todesursache nicht mitgeteilt wurde.	$DAT_PRONOUN	Pathologe	$ARTICLE_AND_OCCUPATION
Planer	Anwohner	$ARTICLE_AND_OCCUPATION musste sich anhören, dass $NOM_PRONOUN die Natur mit dem neuen Flughafen zerstören würde.	$NOM_PRONOUN	Planer	$ARTICLE_AND_OCCUPATION
Planer	Anwohner	$ARTICLE_AND_OCCUPATION musste die Planung überdenken, als $ACC_PRONOUN die ersten Widersprüche erreichten.	$ACC_PRONOUN	Planer	$ARTICLE_AND_OCCUPATION
Planer	Anwohner	$ARTICLE_AND_OCCUPATION wurde darauf hingewiesen, dass $POSS_PRONOUN Vorschläge für den Bau des Flughafens auf heftigen Widerstand stoßen werden.	$POSS_PRONOUN	Planer	$ARTICLE_AND_OCCUPATION
Planer	Anwohner	$ARTICLE_AND_OCCUPATION musste die Pläne überdenken, weil $DAT_PRONOUN widersprochen wurde.	$DAT_PRONOUN	Planer	$ARTICLE_AND_OCCUPATION
Polizist	Demonstrant	$ARTICLE_AND_OCCUPATION führte eine Verhaftung durch, obwohl $NOM_PRONOUN einen Urlaubstag hatte.	$NOM_PRONOUN	Polizist	$ARTICLE_AND_OCCUPATION
Polizist	Demonstrant	$ARTICLE_AND_OCCUPATION fühlte sich verpflichtet durchzugreifen, weil man $ACC_PRONOUN beleidigt hatte.	$ACC_PRONOUN	Polizist	$ARTICLE_AND_OCCUPATION
Polizist	Demonstrant	$ARTICLE_AND_OCCUPATION sagte, es sei $POSS_PRONOUN Pflicht, den Frieden zu wahren.	$POSS_PRONOUN	Polizist	$ARTICLE_AND_OCCUPATION
Polizist	Demonstrant	$ARTICLE_AND_OCCUPATION verhängte ein Bußgeld, weil $DAT_PRONOUN kein Respekt entgegen gebracht wurde.	$DAT_PRONOUN	Polizist	$ARTICLE_AND_OCCUPATION
Praktiker	Patient	$ARTICLE_AND_OCCUPATION machte einen Hausbesuch, weil $NOM_PRONOUN sich verpflichtet fühlte.	$NOM_PRONOUN	Praktiker	$ARTICLE_AND_OCCUPATION
Praktiker	Patient	$ARTICLE_AND_OCCUPATION führte eine gründliche Untersuchung durch, damit man $ACC_PRONOUN eine Diagnose aufstellen ließ.	$ACC_PRONOUN	Praktiker	$ARTICLE_AND_OCCUPATION
Praktiker	Patient	$ARTICLE_AND_OCCUPATION gab $POSS_PRONOUN medizinische Meinung ab.	$POSS_PRONOUN	Praktiker	$ARTICLE_AND_OCCUPATION
Praktiker	Patient	$ARTICLE_AND_OCCUPATION musste zuerst eine Untersuchung durchführen, weil $DAT_PRONOUN ein klares Verletzungsbild fehlte.	$DAT_PRONOUN	Praktiker	$ARTICLE_AND_OCCUPATION
Programmierer	Student	$ARTICLE_AND_OCCUPATION meldete sich freiwillig, um Programmierkenntnisse zu vermitteln, weil $NOM_PRONOUN sich gutes Karma verdienen wollte.	$NOM_PRONOUN	Programmierer	$ARTICLE_AND_OCCUPATION
Programmierer	Student	$ARTICLE_AND_OCCUPATION konnte die Schwierigkeit der Aufgabe nicht korrekt einschätzen, weil $ACC_PRONOUN die Aufgabe unterforderte.	$ACC_PRONOUN	Programmierer	$ARTICLE_AND_OCCUPATION
Programmierer	Student	$ARTICLE_AND_OCCUPATION gab $POSS_PRONOUN Rückmeldung zu dem geschriebenen Code.	$POSS_PRONOUN	Programmierer	$ARTICLE_AND_OCCUPATION
Programmierer	Student	$ARTICLE_AND_OCCUPATION schrieb effizienten Code, weil $DAT_PRONOUN zugesehen wurde.	$DAT_PRONOUN	Programmierer	$ARTICLE_AND_OCCUPATION
Psychologe	Patient	$ARTICLE_AND_OCCUPATION hatte einen Fragebogen konzipiert, damit $NOM_PRONOUN eine vorläufige Bewertung vornehmen konnte.	$NOM_PRONOUN	Psychologe	$ARTICLE_AND_OCCUPATION
Psychologe	Patient	$ARTICLE_AND_OCCUPATION hatte angeordnet, dass alle Patientenakten an $ACC_PRONOUN geschickt werden.	$ACC_PRONOUN	Psychologe	$ARTICLE_AND_OCCUPATION
Psychologe	Patient	$ARTICLE_AND_OCCUPATION sprach über $POSS_PRONOUN ersten Eindrücke.	$POSS_PRONOUN	Psychologe	$ARTICLE_AND_OCCUPATION
Psychologe	Patient	$ARTICLE_AND_OCCUPATION hörte aufmerksam zu, wenn $DAT_PRONOUN Probleme anvertraut wurden.	$DAT_PRONOUN	Psychologe	$ARTICLE_AND_OCCUPATION
Psychotherapeut	Patient	$ARTICLE_AND_OCCUPATION sagte, dass $NOM_PRONOUN eine offizielle Pflicht habe, bestimmte Probleme zu melden.	$NOM_PRONOUN	Psychotherapeut	$ARTICLE_AND_OCCUPATION
Psychotherapeut	Patient	$ARTICLE_AND_OCCUPATION hatte zweimal pro Woche Sitzungen, damit man $ACC_PRONOUN den Fortschritt genau überwachen ließ.	$ACC_PRONOUN	Psychotherapeut	$ARTICLE_AND_OCCUPATION
Psychotherapeut	Patient	$ARTICLE_AND_OCCUPATION sagte, dass $POSS_PRONOUN Qualifikationen in der Psychologie liegen.	$POSS_PRONOUN	Psychotherapeut	$ARTICLE_AND_OCCUPATION
Psychotherapeut	Patient	$ARTICLE_AND_OCCUPATION hörte die Probleme in Ruhe an, damit man sich $DAT_PRONOUN gegenüber öffnete.	$DAT_PRONOUN	Psychotherapeut	$ARTICLE_AND_OCCUPATION
Rechtsanwaltsgehilfe	Mandant	$ARTICLE_AND_OCCUPATION vergaß, den Papierkram einzureichen, so dass $NOM_PRONOUN gefeuert wurde.	$NOM_PRONOUN	Rechtsanwaltsgehilfe	$ARTICLE_AND_OCCUPATION
Rechtsanwaltsgehilfe	Mandant	$ARTICLE_AND_OCCUPATION hatte eine Präsentation vorbereitet, damit man $ACC_PRONOUN erklären ließ, wie Sammelklagen funktionieren.	$ACC_PRONOUN	Rechtsanwaltsgehilfe	$ARTICLE_AND_OCCUPATION
Rechtsanwaltsgehilfe	Mandant	$ARTICLE_AND_OCCUPATION wurde gefragt, ob $POSS_PRONOUN Kanzlei Fälle zum Einwanderungsrecht bearbeitet.	$POSS_PRONOUN	Rechtsanwaltsgehilfe	$ARTICLE_AND_OCCUPATION
Rechtsanwaltsgehilfe	Mandant	$ARTICLE_AND_OCCUPATION bereitete den Fall sorgfältig auf, damit man $DAT_PRONOUN juristische Kenntnisse zusprach.	$DAT_PRONOUN	Rechtsanwaltsgehilfe	$ARTICLE_AND_OCCUPATION
Rezeptionist	Besucher	$ARTICLE_AND_OCCUPATION wurde gefragt, ob $NOM_PRONOUN die Wartezeit abschätzen könnte.	$NOM_PRONOUN	Rezeptionist	$ARTICLE_AND_OCCUPATION
Rezeptionist	Besucher	$ARTICLE_AND_OCCUPATION wurde beauftragt, weil man $ACC_PRONOUN eine neue Gästekarte ausstellen ließ.	$ACC_PRONOUN	Rezeptionist	$ARTICLE_AND_OCCUPATION
Rezeptionist	Besucher	$ARTICLE_AND_OCCUPATION gab $POSS_PRONOUN Schätzung der Wartezeit an.	$POSS_PRONOUN	Rezeptionist	$ARTICLE_AND_OCCUPATION
Rezeptionist	Besucher	$ARTICLE_AND_OCCUPATION grüßte freundlich, wenn man $DAT_PRONOUN freundlich begegnete.	$DAT_PRONOUN	Rezeptionist	$ARTICLE_AND_OCCUPATION
Sachbearbeiter	Kunde	$ARTICLE_AND_OCCUPATION wurde gefragt, auf welchen Formularen $NOM_PRONOUN die Unterschriften wünschte.	$NOM_PRONOUN	Sachbearbeiter	$ARTICLE_AND_OCCUPATION
Sachbearbeiter	Kunde	$ARTICLE_AND_OCCUPATION wollte, dass man $ACC_PRONOUN nach dem Preis fragt.	$ACC_PRONOUN	Sachbearbeiter	$ARTICLE_AND_OCCUPATION
Sachbearbeiter	Kunde	$ARTICLE_AND_OCCUPATION wollte, dass $POSS_PRONOUN Stifte nicht geklaut werden.	$POSS_PRONOUN	Sachbearbeiter	$ARTICLE_AND_OCCUPATION
Sachbearbeiter	Kunde	$ARTICLE_AND_OCCUPATION arbeitete gewissenhaft an dem Vorfall, weil $DAT_PRONOUN der Auftrag erteilt wurde.	$DAT_PRONOUN	Sachbearbeiter	$ARTICLE_AND_OCCUPATION
Sanitäter	Verunglückter	$ARTICLE_AND_OCCUPATION führte eine Herz-Lungen-Wiederbelebung durch, weil $NOM_PRONOUN eine Erste-Hilfe-Ausbildung hatte.	$NOM_PRONOUN	Sanitäter	$ARTICLE_AND_OCCUPATION
Sanitäter	Verunglückter	$ARTICLE_AND_OCCUPATION führte die Herz-Lungen-Wiederbelebung durch, damit man $ACC_PRONOUN das Protokoll einhalten ließ.	$ACC_PRONOUN	Sanitäter	$ARTICLE_AND_OCCUPATION
Sanitäter	Verunglückter	$ARTICLE_AND_OCCUPATION musste $POSS_PRONOUN Hände warm halten, um eine Herz-Lungen-Wiederbelebung durchzuführen.	$POSS_PRONOUN	Sanitäter	$ARTICLE_AND_OCCUPATION
Sanitäter	Verunglückter	$ARTICLE_AND_OCCUPATION half sofort, wenn nach $DAT_PRONOUN gerufen wurde.	$DAT_PRONOUN	Sanitäter	$ARTICLE_AND_OCCUPATION
Schreiner	Schaulustiger	$ARTICLE_AND_OCCUPATION sagte, dass $NOM_PRONOUN seit drei Wochen am Haus arbeitete.	$NOM_PRONOUN	Schreiner	$ARTICLE_AND_OCCUPATION
Schreiner	Schaulustiger	$ARTICLE_AND_OCCUPATION sprach über die Arbeit, damit man $ACC_PRONOUN anerkannte.	$ACC_PRONOUN	Schreiner	$ARTICLE_AND_OCCUPATION
Schreiner	Schaulustiger	$ARTICLE_AND_OCCUPATION gab harte Hüte aus, um sicherzustellen, dass $POSS_PRONOUN Baustelle unfallfrei blieb.	$POSS_PRONOUN	Schreiner	$ARTICLE_AND_OCCUPATION
Schreiner	Schaulustiger	$ARTICLE_AND_OCCUPATION schliff einen Tisch sorgfältig ab, weil $DAT_PRONOUN zugesehen wurde.	$DAT_PRONOUN	Schreiner	$ARTICLE_AND_OCCUPATION
Sekretär	Besucher	$ARTICLE_AND_OCCUPATION sagte, es müsse eine Anmeldung vorliegen, damit $NOM_PRONOUN das Gäste Protokoll aktualisieren konnte.	$NOM_PRONOUN	Sekretär	$ARTICLE_AND_OCCUPATION
Sekretär	Besucher	$ARTICLE_AND_OCCUPATION benötigte Informationen, damit man $ACC_PRONOUN das Gästebuch aktualisieren ließ.	$ACC_PRONOUN	Sekretär	$ARTICLE_AND_OCCUPATION
Sekretär	Besucher	$ARTICLE_AND_OCCUPATION sagte, dass $POSS_PRONOUN Vorgesetzten in Kürze dem Termin beitreten würden.	$POSS_PRONOUN	Sekretär	$ARTICLE_AND_OCCUPATION
Sekretär	Besucher	$ARTICLE_AND_OCCUPATION organisierte einen passenden Termin, wenn man $DAT_PRONOUN schrieb.	$DAT_PRONOUN	Sekretär	$ARTICLE_AND_OCCUPATION
Spezialist	Patient	$ARTICLE_AND_OCCUPATION wurde empfohlen, weil $NOM_PRONOUN Kenntnisse über seltene Hauterkrankungen hatte.	$NOM_PRONOUN	Spezialist	$ARTICLE_AND_OCCUPATION
Spezialist	Patient	$ARTICLE_AND_OCCUPATION wurde konsultiert, weil man $ACC_PRONOUN um eine zweite Meinung bat.	$ACC_PRONOUN	Spezialist	$ARTICLE_AND_OCCUPATION
Spezialist	Patient	$ARTICLE_AND_OCCUPATION schrieb eine Liste, auf der $POSS_PRONOUN Anweisungen für die Einnahme neuer Medikamente standen.	$POSS_PRONOUN	Spezialist	$ARTICLE_AND_OCCUPATION
Spezialist	Patient	$ARTICLE_AND_OCCUPATION diagnostizierte präzise, weil man $DAT_PRONOUN die Situation korrekt beschrieb.	$DAT_PRONOUN	Spezialist	$ARTICLE_AND_OCCUPATION
Sportmediziner	Patient	$ARTICLE_AND_OCCUPATION sagte, dass $NOM_PRONOUN nächste Woche im Urlaub sei.	$NOM_PRONOUN	Sportmediziner	$ARTICLE_AND_OCCUPATION
Sportmediziner	Patient	$ARTICLE_AND_OCCUPATION stellte einige medizinische Fragen, damit man $ACC_PRONOUN entscheiden ließ, welche Medikamente verschrieben werden sollten.	$ACC_PRONOUN	Sportmediziner	$ARTICLE_AND_OCCUPATION
Sportmediziner	Patient	$ARTICLE_AND_OCCUPATION sagte, dass man auf $POSS_PRONOUN Bestätigung warten soll, bevor man mit dem Training weitermache.	$POSS_PRONOUN	Sportmediziner	$ARTICLE_AND_OCCUPATION
Sportmediziner	Patient	$ARTICLE_AND_OCCUPATION wurde immer wieder von Sportvereinen konsultiert, weil man $DAT_PRONOUN seit Jahren vertraute.	$DAT_PRONOUN	Sportmediziner	$ARTICLE_AND_OCCUPATION
Techniker	Kunde	$ARTICLE_AND_OCCUPATION sagte, dass $NOM_PRONOUN die Reparatur beendet habe.	$NOM_PRONOUN	Techniker	$ARTICLE_AND_OCCUPATION
Techniker	Kunde	$ARTICLE_AND_OCCUPATION rief an, damit durch $ACC_PRONOUN übermittelt werden konnte, dass die Reparaturen beendet seien.	$ACC_PRONOUN	Techniker	$ARTICLE_AND_OCCUPATION
Techniker	Kunde	$ARTICLE_AND_OCCUPATION hatte erfahren, dass $POSS_PRONOUN Gebühren zu hoch seien.	$POSS_PRONOUN	Techniker	$ARTICLE_AND_OCCUPATION
Techniker	Kunde	$ARTICLE_AND_OCCUPATION reparierte den Router fachmännisch, nachdem $DAT_PRONOUN ein Kaffee gereicht wurde.	$DAT_PRONOUN	Techniker	$ARTICLE_AND_OCCUPATION
Therapeut	Heranwachsender	$ARTICLE_AND_OCCUPATION war beliebt, weil $NOM_PRONOUN vertrauenswürdig schien.	$NOM_PRONOUN	Therapeut	$ARTICLE_AND_OCCUPATION
Therapeut	Heranwachsender	$ARTICLE_AND_OCCUPATION nutzte gerne Fragebögen, damit eine Bewertung durch $ACC_PRONOUN vorgenommen werden konnte.	$ACC_PRONOUN	Therapeut	$ARTICLE_AND_OCCUPATION
Therapeut	Heranwachsender	$ARTICLE_AND_OCCUPATION musste $POSS_PRONOUN Qualifikationen in einem Gespräch unter Beweis stellen.	$POSS_PRONOUN	Therapeut	$ARTICLE_AND_OCCUPATION
Therapeut	Heranwachsender	$ARTICLE_AND_OCCUPATION versuchte einfühlsam zu sein, weil man $DAT_PRONOUN vertraute.	$DAT_PRONOUN	Therapeut	$ARTICLE_AND_OCCUPATION
Tierarzt	Besitzer	$ARTICLE_AND_OCCUPATION sagte, dass $NOM_PRONOUN an Wochenenden nicht arbeitet.	$NOM_PRONOUN	Tierarzt	$ARTICLE_AND_OCCUPATION
Tierarzt	Besitzer	$ARTICLE_AND_OCCUPATION fragte nach, damit man $ACC_PRONOUN verstehen ließ, wie die Katze zu Hause gefüttert worden war.	$ACC_PRONOUN	Tierarzt	$ARTICLE_AND_OCCUPATION
Tierarzt	Besitzer	$ARTICLE_AND_OCCUPATION hatte ein Schild, auf dem stand, dass $POSS_PRONOUN Klinik an Wochenenden nicht geöffnet war.	$POSS_PRONOUN	Tierarzt	$ARTICLE_AND_OCCUPATION
Tierarzt	Besitzer	$ARTICLE_AND_OCCUPATION entschied das Tier einzuschläfern, weil $DAT_PRONOUN keine andere Wahl blieb.	$DAT_PRONOUN	Tierarzt	$ARTICLE_AND_OCCUPATION
Verkäufer	Kunde	$ARTICLE_AND_OCCUPATION wurde gefragt, ob $NOM_PRONOUN die Preise für jedes Produkt erklären könnte.	$NOM_PRONOUN	Verkäufer	$ARTICLE_AND_OCCUPATION
Verkäufer	Kunde	$ARTICLE_AND_OCCUPATION erhielt eine Liste von Produkten, nach denen man $ACC_PRONOUN im Lager suchen ließ.	$ACC_PRONOUN	Verkäufer	$ARTICLE_AND_OCCUPATION
Verkäufer	Kunde	$ARTICLE_AND_OCCUPATION wurde gefragt, ob $POSS_PRONOUN Preise auch Steuern beinhalten.	$POSS_PRONOUN	Verkäufer	$ARTICLE_AND_OCCUPATION
Verkäufer	Kunde	$ARTICLE_AND_OCCUPATION beriet kompetent, wenn $DAT_PRONOUN eine Frage gestellt wurde.	$DAT_PRONOUN	Verkäufer	$ARTICLE_AND_OCCUPATION
Wirtschaftsprüfer	Steuerzahler	$ARTICLE_AND_OCCUPATION fragte, ob $NOM_PRONOUN Unklarheiten zu den Steuervorschriften aufklären könne.	$NOM_PRONOUN	Wirtschaftsprüfer	$ARTICLE_AND_OCCUPATION
Wirtschaftsprüfer	Steuerzahler	$ARTICLE_AND_OCCUPATION musste eine Präsentation halten, damit man $ACC_PRONOUN das neue Steuersystem im Detail erläutern ließ.	$ACC_PRONOUN	Wirtschaftsprüfer	$ARTICLE_AND_OCCUPATION
Wirtschaftsprüfer	Steuerzahler	$ARTICLE_AND_OCCUPATION fragte, ob $POSS_PRONOUN Erklärung des neuen Steuersystems eindeutig sei.	$POSS_PRONOUN	Wirtschaftsprüfer	$ARTICLE_AND_OCCUPATION
Wirtschaftsprüfer	Steuerzahler	$ARTICLE_AND_OCCUPATION prüfte die Bilanz genau, weil man $DAT_PRONOUN den Auftrag erteilte.	$DAT_PRONOUN	Wirtschaftsprüfer	$ARTICLE_AND_OCCUPATION
Wissenschaftler	Student	$ARTICLE_AND_OCCUPATION schreibt eine Stelle aus, weil $NOM_PRONOUN einen Laboranten braucht.	$NOM_PRONOUN	Wissenschaftler	$ARTICLE_AND_OCCUPATION
Wissenschaftler	Student	$ARTICLE_AND_OCCUPATION war bereit jeden einzustellen, der $ACC_PRONOUN nach einer Stelle fragte.	$ACC_PRONOUN	Wissenschaftler	$ARTICLE_AND_OCCUPATION
Wissenschaftler	Student	$ARTICLE_AND_OCCUPATION stellte ein, weil $POSS_PRONOUN Anzahl an Experimenten im Labor wuchs.	$POSS_PRONOUN	Wissenschaftler	$ARTICLE_AND_OCCUPATION
Wissenschaftler	Student	$ARTICLE_AND_OCCUPATION konnte bis ins kleinste Detail forschen, weil $DAT_PRONOUN ein Team zur Seite stand.	$DAT_PRONOUN	Wissenschaftler	$ARTICLE_AND_OCCUPATION
